4613 2
838 -0.22309038 -0.12688859
83 0.21005103 -0.21367341
1910 0.27176255 0.056078658
182 -0.24962673 -0.1241376
2028 0.22756118 0.15874021
1835 -0.13861902 -0.07130001
1494 -0.044744153 -0.04195711
976 0.2528132 0.23259175
1068 0.1560204 0.15248045
116 0.2713755 0.06760871
292 0.11918737 0.035782218
1377 0.11535047 -0.16995929
2561 -0.2066762 -0.112470865
781 0.1440194 0.15863429
19 0.24905044 -0.16755699
103 0.026135547 -0.17456776
358 0.19569296 -0.021482952
5353 -0.19238849 -0.10173408
382 -0.14584479 -0.21766366
1427 0.1661052 -0.16653441
6697 0.23140065 -0.22221738
162 -0.07415394 -0.16327445
595 -0.16085854 -0.11793234
1356 -0.22478767 -0.005469133
2074 -0.15621318 0.050329454
1194 0.088947475 -0.036501627
1191 0.24423912 0.05203285
2858 -0.112287946 -0.21217525
147 0.13289447 0.0063848062
744 0.063392885 -0.26614633
63 -0.21751612 -0.103321284
126 0.12151762 0.064139895
317 0.035314225 -0.1019091
1721 -0.10162555 -0.21290024
314 0.17236985 -0.21405369
2932 0.030225879 -0.247538
2134 0.17300569 0.096700475
640 -0.05375361 -0.1959391
321 0.20281845 0.116844274
2575 0.0931576 -0.21038973
827 0.25104672 0.00916531
1189 -0.16329892 0.20389254
198 -0.18797836 0.18626049
78 0.15458557 0.0923156
576 -0.119765535 -0.15539354
87 0.06081923 -0.13788545
1997 -0.12622187 -0.12744929
548 -0.10848853 -0.099400684
137 -0.07792206 -0.19831355
1521 -0.15380138 0.25091624
173 0.06120745 0.048783753
384 0.029020889 0.23997264
1828 -0.05435221 -0.18641272
48 -0.1287287 -0.23621573
2026 -0.032217436 0.16896641
675 0.059495393 0.10218203
813 0.056390975 -0.24586345
1240 0.016472302 0.18011667
2775 0.060425147 0.020504253
2986 0.27887055 0.018004207
978 0.018327065 -0.11752146
10 -0.08536768 0.16128717
4091 0.021793438 -0.17609382
999 0.14615288 -0.24028891
215 -0.18354519 0.14010087
5851 0.18906878 -0.25054753
6695 -0.10362728 -0.00683318
1611 -0.035084654 -0.18116267
1749 0.2418207 0.18410411
2048 0.2410669 -0.1194399
5768 0.14897595 0.18312529
3573 0.11550485 -0.2667036
2596 0.003190463 -0.22870678
2296 0.16331993 0.030951414
1816 -0.12905711 0.24243878
1960 0.22678545 -0.1051481
1154 0.04963308 -0.23587975
512 0.052544568 -0.21606103
3040 -0.043483 -0.06220294
652 -0.21160543 -0.25418162
808 -0.07574932 -0.13887498
856 -0.19077608 -0.15977317
1269 0.032062296 -0.041295942
2081 0.21198352 -0.25279886
3563 -0.10087283 0.056420516
156 0.05254842 -0.1126156
670 0.043287896 -0.14309734
336 -0.2034604 -0.06780859
857 0.067626216 0.029946689
726 -0.016970707 0.05499122
4723 0.24170278 0.17603166
1006 -0.07681539 -0.25883713
624 -0.1854973 0.0704929
3095 -0.0787711 -0.24017155
1568 -0.2650872 -0.07679095
916 -0.0075439173 0.06540892
1227 0.17812173 0.18201639
